日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/03/27,244,"8,508",34.9,35.0,34.65,35.0,0.1,266
114/03/27,244,"8,508",34.9,35.0,34.65,35.0,0.1,266
114/03/26,185,"6,458",34.8,34.9,34.75,34.9,0.2,618
114/03/26,185,"6,458",34.8,34.9,34.75,34.9,0.2,618
114/03/25,169,"5,881",34.6,34.85,34.6,34.7,0.1,268
114/03/25,169,"5,881",34.6,34.85,34.6,34.7,0.1,268
114/03/24,255,"8,835",34.6,34.7,34.55,34.6,-0.1,509
114/03/24,255,"8,835",34.6,34.7,34.55,34.6,-0.1,509
114/03/21,336,"11,660",34.95,34.95,34.65,34.7,-0.25,"1,097"
114/03/21,336,"11,660",34.95,34.95,34.65,34.7,-0.25,"1,097"
114/03/20,126,"4,390",34.9,35.15,34.9,34.95,0.05,"1,084"
114/03/20,126,"4,390",34.9,35.15,34.9,34.95,0.05,"1,084"
114/03/19,255,"8,903",35.1,35.1,34.85,34.9,-0.2,892
114/03/19,255,"8,903",35.1,35.1,34.85,34.9,-0.2,892
114/03/18,218,"7,650",35.15,35.3,35.0,35.1,-0.05,741
114/03/18,218,"7,650",35.15,35.3,35.0,35.1,-0.05,741
114/03/17,502,"17,700",35.1,35.4,35.1,35.15,0.05,"1,005"
114/03/17,502,"17,700",35.1,35.4,35.1,35.15,0.05,"1,005"
114/03/14,454,"15,872",34.7,35.15,34.7,35.1,0.45,596
114/03/14,454,"15,872",34.7,35.15,34.7,35.1,0.45,596
114/03/13,348,"12,130",35.1,35.1,34.65,34.65,-0.15,689
114/03/13,348,"12,130",35.1,35.1,34.65,34.65,-0.15,689
114/03/12,269,"9,391",34.95,35.1,34.8,34.8,-0.05,495
114/03/12,269,"9,391",34.95,35.1,34.8,34.8,-0.05,495
114/03/11,515,"17,907",34.8,35.1,34.15,34.85,-0.05,"1,218"
114/03/11,515,"17,907",34.8,35.1,34.15,34.85,-0.05,"1,218"
114/03/10,753,"26,322",34.5,35.25,34.5,34.9,0.25,"1,425"
114/03/10,753,"26,322",34.5,35.25,34.5,34.9,0.25,"1,425"
114/03/07,438,"15,201",34.5,34.75,34.5,34.65,0.15,760
114/03/07,438,"15,201",34.5,34.75,34.5,34.65,0.15,760
114/03/06,342,"11,781",34.5,34.75,34.35,34.5,0.05,950
114/03/06,342,"11,781",34.5,34.75,34.35,34.5,0.05,950
114/03/05,557,"19,242",34.75,34.75,34.4,34.45,0.0,"1,147"
114/03/05,557,"19,242",34.75,34.75,34.4,34.45,0.0,"1,147"
114/03/04,859,"29,481",33.85,34.6,33.75,34.45,0.45,"1,069"
114/03/04,859,"29,481",33.85,34.6,33.75,34.45,0.45,"1,069"
114/03/03,"1,733","59,006",33.7,34.35,33.7,34.0,0.95,"1,579"
114/03/03,"1,733","59,006",33.7,34.35,33.7,34.0,0.95,"1,579"
114/02/27,412,"13,698",33.05,33.5,33.05,33.05,0.0,644
114/02/27,412,"13,698",33.05,33.5,33.05,33.05,0.0,644
114/02/26,362,"11,914",32.8,33.1,32.7,33.05,0.4,415
114/02/26,362,"11,914",32.8,33.1,32.7,33.05,0.4,415
114/02/25,119,"3,885",32.9,32.9,32.65,32.65,-0.1,255
114/02/25,119,"3,885",32.9,32.9,32.65,32.65,-0.1,255
114/02/24,115,"3,768",32.65,32.85,32.55,32.75,0.05,466
114/02/24,115,"3,768",32.65,32.85,32.55,32.75,0.05,466
114/02/21,216,"7,087",32.8,32.9,32.7,32.7,-0.1,435
114/02/21,216,"7,087",32.8,32.9,32.7,32.7,-0.1,435
114/02/20,322,"10,573",32.6,33.05,32.6,32.8,0.4,367
114/02/20,322,"10,573",32.6,33.05,32.6,32.8,0.4,367
114/02/19,181,"5,853",32.2,32.45,32.2,32.4,0.2,285
114/02/19,181,"5,853",32.2,32.45,32.2,32.4,0.2,285
114/02/18,125,"4,029",32.15,32.25,32.05,32.2,0.15,220
114/02/18,125,"4,029",32.15,32.25,32.05,32.2,0.15,220
114/02/17,137,"4,373",32.1,32.2,31.85,32.05,0.05,303
114/02/17,137,"4,373",32.1,32.2,31.85,32.05,0.05,303
114/02/14,111,"3,555",31.95,32.35,31.8,32.0,0.05,193
114/02/14,111,"3,555",31.95,32.35,31.8,32.0,0.05,193
114/02/13,182,"5,788",31.4,31.95,31.4,31.95,0.45,212
114/02/13,182,"5,788",31.4,31.95,31.4,31.95,0.45,212
114/02/12,230,"7,249",31.6,31.8,31.45,31.5,-0.15,274
114/02/12,230,"7,249",31.6,31.8,31.45,31.5,-0.15,274
114/02/11,92,"2,910",31.55,31.65,31.5,31.65,0.15,215
114/02/11,92,"2,910",31.55,31.65,31.5,31.65,0.15,215
114/02/10,187,"5,892",31.35,32.0,31.3,31.5,-0.1,313
114/02/10,187,"5,892",31.35,32.0,31.3,31.5,-0.1,313
114/02/07,205,"6,467",31.55,31.7,31.4,31.6,0.05,284
114/02/07,205,"6,467",31.55,31.7,31.4,31.6,0.05,284
114/02/06,125,"3,933",31.3,31.6,31.3,31.55,0.3,181
114/02/06,125,"3,933",31.3,31.6,31.3,31.55,0.3,181
114/02/05,118,"3,682",31.2,31.35,31.1,31.25,0.25,221
114/02/05,118,"3,682",31.2,31.35,31.1,31.25,0.25,221
114/02/04,71,"2,190",30.95,31.1,30.95,31.0,0.15,149
114/02/04,71,"2,190",30.95,31.1,30.95,31.0,0.15,149
114/02/03,242,"7,467",30.85,30.95,30.7,30.85,-0.4,373
114/02/03,242,"7,467",30.85,30.95,30.7,30.85,-0.4,373
114/01/22,121,"3,778",30.95,31.3,30.95,31.25,0.35,159
114/01/22,121,"3,778",30.95,31.3,30.95,31.25,0.35,159
114/01/21,86,"2,658",30.9,31.1,30.85,30.9,0.0,150
114/01/21,86,"2,658",30.9,31.1,30.85,30.9,0.0,150
114/01/20,114,"3,513",30.95,30.95,30.85,30.9,-0.15,191
114/01/20,114,"3,513",30.95,30.95,30.85,30.9,-0.15,191
114/01/17,84,"2,591",30.85,31.05,30.85,31.05,0.05,146
114/01/17,84,"2,591",30.85,31.05,30.85,31.05,0.05,146
114/01/16,88,"2,723",31.0,31.05,30.85,31.0,0.3,145
114/01/16,88,"2,723",31.0,31.05,30.85,31.0,0.3,145
114/01/15,136,"4,200",30.95,31.0,30.7,30.7,-0.25,257
114/01/15,136,"4,200",30.95,31.0,30.7,30.7,-0.25,257
114/01/14,125,"3,867",30.55,31.05,30.55,30.95,0.4,160
114/01/14,125,"3,867",30.55,31.05,30.55,30.95,0.4,160
114/01/13,609,"18,648",31.15,31.15,30.35,30.55,-0.9,533
114/01/13,609,"18,648",31.15,31.15,30.35,30.55,-0.9,533
114/01/10,302,"9,538",31.5,31.9,31.35,31.45,-0.3,266
114/01/10,302,"9,538",31.5,31.9,31.35,31.45,-0.3,266
114/01/09,457,"14,575",32.3,32.35,31.55,31.75,-0.75,716
114/01/09,457,"14,575",32.3,32.35,31.55,31.75,-0.75,716
114/01/08,138,"4,459",32.15,32.55,32.15,32.5,0.2,143
114/01/08,138,"4,459",32.15,32.55,32.15,32.5,0.2,143
114/01/07,80,"2,600",32.3,32.45,32.25,32.3,0.0,220
114/01/07,80,"2,600",32.3,32.45,32.25,32.3,0.0,220
114/01/06,144,"4,640",32.1,32.5,32.1,32.3,0.25,279
114/01/06,144,"4,640",32.1,32.5,32.1,32.3,0.25,279
114/01/03,239,"7,682",32.25,32.3,32.05,32.05,-0.05,663
114/01/03,239,"7,682",32.25,32.3,32.05,32.05,-0.05,663
114/01/02,340,"10,969",32.25,32.45,32.1,32.1,-0.3,343
114/01/02,340,"10,969",32.25,32.45,32.1,32.1,-0.3,343
113/12/31,213,"6,874",32.45,32.6,32.15,32.4,-0.1,424
113/12/31,213,"6,874",32.45,32.6,32.15,32.4,-0.1,424
113/12/30,242,"7,879",32.65,32.75,32.5,32.5,-0.2,680
