股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
8044,網家,2005/01/24,上櫃,數位雲端,https://www.cnyes.com/twstock/8044,34.15,+0.70,+2.09%,鉅亨
8047,星雲,2004/02/09,上櫃,其他電子業,https://www.cnyes.com/twstock/8047,13.40,0.00,+0.00%,鉅亨
8048,德勝,2009/09/08,上櫃,通信網路業,https://www.cnyes.com/twstock/8048,39.20,-0.05,-0.13%,鉅亨
8049,晶采,2004/02/02,上櫃,光電業,https://www.cnyes.com/twstock/8049,27.25,-0.30,-1.09%,鉅亨
8050,廣積,2003/10/24,上櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/8050,55.60,-0.50,-0.89%,鉅亨
8054,安國,2004/11/08,上櫃,半導體業,https://www.cnyes.com/twstock/8054,112.50,-6.00,-5.06%,鉅亨
8059,凱碩,2010/03/16,上櫃,通信網路業,https://www.cnyes.com/twstock/8059,30.40,-0.65,-2.09%,鉅亨
8064,東捷,2006/09/25,上櫃,光電業,https://www.cnyes.com/twstock/8064,38.90,-1.30,-3.23%,鉅亨
8066,來思達,2004/12/24,上櫃,居家生活,https://www.cnyes.com/twstock/8066,21.20,-0.15,-0.70%,鉅亨
8067,志旭,2004/04/23,上櫃,電子通路業,https://www.cnyes.com/twstock/8067,13.35,-0.20,-1.48%,鉅亨
8068,全達,2004/03/25,上櫃,電子通路業,https://www.cnyes.com/twstock/8068,18.45,-0.25,-1.34%,鉅亨
8069,元太,2004/03/30,上櫃,光電業,https://www.cnyes.com/twstock/8069,214.00,+1.50,+0.71%,鉅亨
8071,能率網通,2003/12/29,上櫃,電子零組件業,https://www.cnyes.com/twstock/8071,17.45,-0.55,-3.06%,鉅亨
8074,鉅橡,2004/01/27,上櫃,電子零組件業,https://www.cnyes.com/twstock/8074,22.15,-0.10,-0.45%,鉅亨
8076,伍豐,2003/12/15,上櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/8076,25.70,-0.30,-1.15%,鉅亨
8077,洛碁,2004/12/06,上櫃,觀光餐旅,https://www.cnyes.com/twstock/8077,-,-,(-),CMoney
8080,泰霖,2021/04/07,上櫃,建材營造業,https://www.cnyes.com/twstock/8080,29.50,+0.45,+1.55%,鉅亨
8083,瑞穎,2004/09/23,上櫃,電機機械,https://www.cnyes.com/twstock/8083,151.00,0.00,+0.00%,鉅亨
8084,巨虹,2004/03/08,上櫃,電子通路業,https://www.cnyes.com/twstock/8084,35.35,+0.40,+1.14%,鉅亨
8085,福華,2004/03/01,上櫃,其他電子業,https://www.cnyes.com/twstock/8085,18.25,-0.20,-1.08%,鉅亨
8086,宏捷科,2009/06/01,上櫃,半導體業,https://www.cnyes.com/twstock/8086,95.60,+6.60,+7.42%,鉅亨
8087,麗升能源,2004/02/25,上櫃,綠能環保,https://www.cnyes.com/twstock/8087,39.90,+0.25,+0.63%,鉅亨
8088,品安,2004/02/27,上櫃,半導體業,https://www.cnyes.com/twstock/8088,30.10,0.00,+0.00%,鉅亨
8089,康全電訊,2020/09/23,上櫃,通信網路業,https://www.cnyes.com/twstock/8089,44.10,-0.35,-0.79%,鉅亨
8091,翔名,2004/06/24,上櫃,半導體業,https://www.cnyes.com/twstock/8091,104.50,0.00,+0.00%,鉅亨
8092,建暐,2004/02/02,上櫃,其他電子業,https://www.cnyes.com/twstock/8092,19.90,0.00,+0.00%,鉅亨
8093,保銳,2004/12/31,上櫃,電子零組件業,https://www.cnyes.com/twstock/8093,16.75,-0.05,-0.30%,鉅亨
8096,擎亞,2004/07/15,上櫃,電子通路業,https://www.cnyes.com/twstock/8096,42.65,-0.50,-1.16%,鉅亨
8097,常珵,2004/03/01,上櫃,通信網路業,https://www.cnyes.com/twstock/8097,77.80,0.00,+0.00%,鉅亨
8099,大世科,2004/03/29,上櫃,資訊服務業,https://www.cnyes.com/twstock/8099,74.40,+0.40,+0.54%,鉅亨
8107,大億金茂,2005/11/15,上櫃,電機機械,https://www.cnyes.com/twstock/8107,15.65,-0.05,-0.32%,鉅亨
8109,博大,2005/03/22,上櫃,電子零組件業,https://www.cnyes.com/twstock/8109,83.40,+0.10,+0.12%,鉅亨
8111,立碁,2004/02/09,上櫃,光電業,https://www.cnyes.com/twstock/8111,48.70,-0.40,-0.81%,鉅亨
8121,越峰,2005/02/17,上櫃,電子零組件業,https://www.cnyes.com/twstock/8121,18.65,-0.20,-1.06%,鉅亨
8147,正淩,2013/04/30,上櫃,電子零組件業,https://www.cnyes.com/twstock/8147,105.00,-1.00,-0.94%,鉅亨
8155,博智,2012/12/18,上櫃,電子零組件業,https://www.cnyes.com/twstock/8155,129.00,+1.00,+0.78%,鉅亨
8171,天宇,2011/12/19,上櫃,綠能環保,https://www.cnyes.com/twstock/8171,30.10,+0.10,+0.33%,鉅亨
8176,智捷,2013/06/25,上櫃,通信網路業,https://www.cnyes.com/twstock/8176,10.15,-0.10,-0.98%,鉅亨
8182,加高,2006/05/25,上櫃,電子零組件業,https://www.cnyes.com/twstock/8182,26.55,-0.25,-0.93%,鉅亨
8183,精星,2005/03/30,上櫃,其他電子業,https://www.cnyes.com/twstock/8183,26.25,+0.05,+0.19%,鉅亨
8227,巨有科技,2022/12/20,上櫃,半導體業,https://www.cnyes.com/twstock/8227,166.00,-2.50,-1.48%,鉅亨
8234,新漢,2007/06/07,上櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/8234,94.10,+0.90,+0.97%,鉅亨
8240,華宏,2005/06/23,上櫃,光電業,https://www.cnyes.com/twstock/8240,30.95,+0.05,+0.16%,鉅亨
8255,朋程,2006/04/25,上櫃,電機機械,https://www.cnyes.com/twstock/8255,134.50,0.00,+0.00%,鉅亨
8272,全景軟體,2024/10/23,上櫃,資訊服務業,https://www.cnyes.com/twstock/8272,78.40,-0.40,-0.51%,鉅亨
8277,商丞,2004/12/27,上櫃,半導體業,https://www.cnyes.com/twstock/8277,9.74,-0.03,-0.31%,鉅亨
8279,生展,2016/09/26,上櫃,生技醫療業,https://www.cnyes.com/twstock/8279,113.00,+1.00,+0.89%,鉅亨
