股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
00632R,元大台灣50反1,2014/10/31,上市,,https://www.cnyes.com/twstock/00632R,20.75,+0.05,+0.24%,鉅亨
00633L,富邦上証正2,2014/11/25,上市,,https://www.cnyes.com/twstock/00633L,40.73,-0.47,-1.14%,鉅亨
00634R,富邦上証反1,2014/11/25,上市,,https://www.cnyes.com/twstock/00634R,3.56,+0.03,+0.85%,鉅亨
00635U,期元大S&P黃金,2015/04/15,上市,,https://www.cnyes.com/twstock/00635U,36.66,-0.20,-0.54%,鉅亨
00636,國泰中國A50,2015/04/01,上市,,https://www.cnyes.com/twstock/00636,22.40,-0.09,-0.40%,鉅亨
00636K,國泰中國A50+U,2017/10/24,上市,,https://www.cnyes.com/twstock/00636K,7.65,-0.07,-0.91%,鉅亨
00637L,元大滬深300正2,2015/05/18,上市,,https://www.cnyes.com/twstock/00637L,16.24,-0.17,-1.04%,鉅亨
00638R,元大滬深300反1,2015/05/18,上市,,https://www.cnyes.com/twstock/00638R,7.38,+0.05,+0.68%,鉅亨
00639,富邦深100,2015/06/09,上市,,https://www.cnyes.com/twstock/00639,11.54,-0.02,-0.17%,鉅亨
00640L,富邦日本正2,2015/09/10,上市,,https://www.cnyes.com/twstock/00640L,58.05,-1.00,-1.69%,鉅亨
00641R,富邦日本反1,2015/09/10,上市,,https://www.cnyes.com/twstock/00641R,5.41,+0.04,+0.74%,鉅亨
00642U,期元大S&P石油,2015/09/07,上市,,https://www.cnyes.com/twstock/00642U,16.59,+0.18,+1.10%,鉅亨
00643,群益深証中小,2015/12/02,上市,,https://www.cnyes.com/twstock/00643,13.05,+0.09,+0.69%,鉅亨
00643K,群益深証中小+R,2016/08/26,上市,,https://www.cnyes.com/twstock/00643K,-,-,(-),CMoney
00645,富邦日本,2015/11/06,上市,,https://www.cnyes.com/twstock/00645,40.87,-0.39,-0.95%,鉅亨
00646,元大S&P500,2015/12/14,上市,,https://www.cnyes.com/twstock/00646,58.65,+0.35,+0.60%,鉅亨
00647L,元大S&P500正2,2015/12/14,上市,,https://www.cnyes.com/twstock/00647L,100.55,+0.75,+0.75%,鉅亨
00648R,元大S&P500反1,2015/12/14,上市,,https://www.cnyes.com/twstock/00648R,4.58,-0.02,-0.43%,鉅亨
00650L,復華香港正2,2016/01/27,上市,,https://www.cnyes.com/twstock/00650L,16.61,-0.29,-1.72%,鉅亨
00651R,復華香港反1,2016/01/27,上市,,https://www.cnyes.com/twstock/00651R,5.43,+0.05,+0.93%,鉅亨
00652,富邦印度,2016/03/29,上市,,https://www.cnyes.com/twstock/00652,35.41,-0.34,-0.95%,鉅亨
